indexNoteChord,ChordNotes
"('C#', '7#5')","C#,F,A,B"
"('C#', '7#5#9')","C#,F,G#,B,E"
"('C#', '7#5b9')","C#,F,G#,B,D"
"('C#', '7#9')","C#,F,G#,B,E"
"('C#', '7add11')","C#,F,G#,B,F#"
"('C#', '7add13')","C#,F,G#,B,A#"
"('C#', '7b5')","C#,F,G,B"
"('C#', '7b5b9')","C#,F,G,B,D"
"('C#', '7b9')","C#,F,G#,B,D"
"('C#', '7sus4')","C#,F#,G#,B"
"('C#', '9')","C#,F,G#,B,D#"
"('C#', '9#11')","C#,F,G#,B,D#,G"
"('C#', '9#5')","C#,F,A,B,D#"
"('C#', '9b13')","C#,F,G#,B,D#,A#"
"('C#', '9b5')","C#,F,G,B,D#"
"('C#', '9sus4')","C#,F#,G#,B,D#"
"('C#', 'add9')","C#,F,G#,D#"
"('C#', 'augsus4')","C#,F#,A"
"('C#', 'm11')","C#,E,G#,B,D#,F#"
"('C#', 'm13')","C#,E,G#,B,D#,A#"
"('C#', 'm6')","C#,E,G#,A#"
"('C#', 'm6add9')","C#,E,G#,A#,D#"
"('C#', 'm7')","C#,E,G#,B"
"('C#', 'm7add11')","C#,E,G#,B,F#"
"('C#', 'm7add13')","C#,E,G#,B,A#"
"('C#', 'm7b5')","C#,E,G,B"
"('C#', 'm7b9')","C#,E,G#,B,D"
"('C#', 'm9')","C#,E,G#,B,D#"
"('C#', 'm9b5')","C#,E,G,B,D#"
"('C#', 'm9-Maj7')","C#,E,G#,C,D#"
"('C#', 'madd9')","C#,E,G#,D#"
"('C#', 'Maj11')","C#,F,G#,C,D#,F#"
"('C#', 'Maj13')","C#,F,G#,C,D#,A#"
"('C#', 'Maj7')","C#,F,G#,C"
"('C#', 'Maj7#11')","C#,F,G#,C,G"
"('C#', 'Maj7#5')","C#,F,A,C"
"('C#', 'Maj7add13')","C#,F,G#,C,A#"
"('C#', 'Maj7b5')","C#,F,G,B"
"('C#', 'Maj9')","C#,F,G#,C,D#"
"('C#', 'Maj9#11')","C#,F,G#,C,D#,G"
"('C#', 'Maj9#5')","C#,F,A,C,D#"
"('C#', 'Maj9sus4')","C#,F#,G#,C,D#"
